! SHMS reconstruction optics
! made with Cosy from `shms-2011-26cm-monte_q2_m015
! order: 5
 ------------------------------------------------------------------------------
   15.3854463      1.43780705      1.31559278      31.5370516     01201
  0.479106905E-01  9.99610740     -1.93237215     0.962961189E-01 00301
  -177.324929      14.3763014     -25.0563155     -402.724506     20020
   1064.36307     -144.750570      152.808629      2883.27795     11020
  -797.683010      276.349349     -190.327321     -4188.16921     02020
   8.22137663      2940.89681     -562.489309      14.6287503     10120
  -41.7735485     -9190.29462      1711.71137     -74.4967329     01120
  -2.08346677     -5.66560664     -3.45807819     -6.63290343     00220
  -6.46146008     -827.859792      160.755893     -10.9553420     20011
   29.1265936      4076.49434     -774.504724      57.8912048     11011
  -21.1334338     -2533.62888      445.791005     -60.1683810     02011
   99.7122154      8.79040855      9.42016659      181.301103     10111
  -315.609968     -4.88411130     -30.6915035     -650.739123     01111
  -1.38487014     -324.162886      62.5355358     -2.75141983     00211
  -33.3506147      6.34297784     -4.05831523     -51.4664427     20002
   163.505213     -33.7338168      21.5302441      298.465556     11002
  -143.828627      36.1866495     -22.7163696     -364.020119     02002
   1.38195121      99.7532331     -19.4090438      2.15492061     10102
  -3.23922715     -261.956276      50.1913597     -5.94554283     01102
  -3.31956506    -0.848327946    -0.181377159     -5.11753067     00202
  -24.6349716     -10233.9002      1948.02445     -42.5960075     10030
   124.970427      31051.6826     -5740.17454      216.429779     01030
   20.1359476      23.3820148      22.5702987      63.0236653     00130
  -516.680479     -5.18171917     -54.0657127     -941.137013     10021
   1619.71070     -107.668834      177.682214      3351.22636     01021
   12.9630325      3465.34617     -666.089364      25.5355383     00121
  -10.1539469     -1064.13940      206.939951     -16.2054044     10012
   22.1073091      2732.81229     -522.428046      42.0773932     01012
   69.7943408      12.1124985      4.60159473      107.506527     00112
  -31.7847194      5.24327639     -3.47498524     -43.9660783     10003
   79.0370221     -14.1434500      9.31508146      128.145160     01003
  0.726046434      44.1152397     -8.55890821      1.04869207     00103
  -56.4104774     -20.1811295     -53.1255939     -175.387316     00040
  -39.2680835     -12254.9359      2345.07786     -76.6301459     00031
  -364.516275     -32.9454733     -28.1658328     -560.941689     00022
  -5.37459328     -473.828096      92.0528383     -8.00068209     00013
  -11.5574772      1.66240951     -1.14620607     -14.5247063     00004
 ------------------------------------------------------------------------------
